ticker,company_name,sector,industry,fiscal_year,currency,unit,revenue,ebitda,ebit,net_income,eps,total_assets,total_equity,total_debt,cash,net_debt,operating_cash_flow,capex,free_cash_flow,dividend_per_share,equity_ratio_pct,core_completeness_score,full_completeness_score,extraction_status,source_file,notes
DKSH.SW,DKSH Holding AG,Distribution / Services,Market Expansion Services,2015,CHF,CHF_millions,10050.8,341.8,270.2,199.6,3.12,4095.8,,102.6,,,,-39.3,,1.302,,4/7,9/13,REVIEW,DKSH_2015.pdf,
DKSH.SW,DKSH Holding AG,Distribution / Services,Market Expansion Services,2016,CHF,CHF_millions,10505.2,332.5,293.0,213.0,3.21,4415.3,,98.8,,,,-32.2,,1.502,,4/7,9/13,REVIEW,DKSH_2016.pdf,
DKSH.SW,DKSH Holding AG,Distribution / Services,Market Expansion Services,2018,CHF,CHF_millions,11344.6,308.2,263.6,260.3,3.92,4895.4,,140.5,,,179.9,-35.3,144.6,1.852,,5/7,10/13,REVIEW,DKSH_2018.pdf,
DKSH.SW,DKSH Holding AG,Distribution / Services,Market Expansion Services,2019,CHF,CHF_millions,11579.2,401.2,265.4,176.1,2.65,5353.0,,279.7,431.9,-152.2,294.2,-45.2,156.7,1.902,,6/7,12/13,GO,DKSH_2019.pdf,
DKSH.SW,DKSH Holding AG,Distribution / Services,Market Expansion Services,2020,CHF,CHF_millions,10742.2,386.7,257.5,164.8,2.42,5118.0,1799.6,338.6,-680.8,1019.4,325.3,-31.2,210.2,1.95,35.16,7/7,13/13,GO,DKSH_2020.pdf,
DKSH.SW,DKSH Holding AG,Distribution / Services,Market Expansion Services,2021,CHF,CHF_millions,11106.3,412.8,284.6,230.1,3.45,5347.4,1886.4,306.4,-673.7,980.1,393.2,-44.8,261.6,2.052,35.28,7/7,13/13,GO,DKSH_2021.pdf,
DKSH.SW,DKSH Holding AG,Distribution / Services,Market Expansion Services,2022,CHF,CHF_millions,11320.2,445.7,319.2,207.6,3.09,5878.7,1826.3,678.7,-636.4,1315.1,321.9,-36.6,209.5,2.152,31.07,7/7,13/13,GO,DKSH_2022.pdf,
DKSH.SW,DKSH Holding AG,Distribution / Services,Market Expansion Services,2023,CHF,CHF_millions,11066.0,438.0,305.9,189.9,2.8,5471.2,1737.9,680.7,-687.2,1367.9,393.1,-30.7,282.3,2.252,31.76,7/7,13/13,GO,DKSH_2023.pdf,
DKSH.SW,DKSH Holding AG,Distribution / Services,Market Expansion Services,2024,CHF,CHF_millions,11093.6,460.5,333.9,220.9,3.31,5848.3,1880.0,561.0,-609.1,1170.1,362.9,-33.7,256.5,2.352,32.15,7/7,13/13,GO,DKSH_2024.pdf,
DKSH.SW,DKSH Holding AG,Distribution / Services,Market Expansion Services,2025,CHF,CHF_millions,11070.6,457.1,335.4,210.9,3.12,5499.7,1821.1,513.2,-538.4,1051.6,320.1,-35.4,215.5,2.502,33.11,7/7,13/13,GO,DKSH_2025.pdf,
GEBN.SW,Geberit AG,Industrials,Building Products,2015,CHF,CHF_millions,2593.7,631.7,498.3,422.4,11.33,3553.8,1482.2,406.3,459.6,-53.30000000000001,612.1,147.3,484.0,,41.71,7/7,12/13,GO,GEBN.SW_2015.pdf,
