ticker,company_name,sector,industry,fiscal_year,price,market_cap_mchf,pe_ratio,pb_ratio,roe,debt_to_equity,net_debt,ev,ev_to_ebitda,ev_to_ebit,price_to_fcf,dividend_yield,ebit_margin,ebitda_margin,net_margin,free_cash_flow_margin,revenue_growth,net_income_growth,quality_notes
DKSH.SW,DKSH Holding AG,Distribution / Services,Market Expansion Services,2015,43.99,2858.7,14.1,,,,,,,,,2.96,2.6883432164603813,3.400724320452104,1.9859115692283202,,,,
DKSH.SW,DKSH Holding AG,Distribution / Services,Market Expansion Services,2016,49.56,3220.6,15.4,,,,,,,,,3.03,2.789094924418383,3.16509918897308,2.0275673000038075,,4.521033151589937,6.713426853707416,
DKSH.SW,DKSH Holding AG,Distribution / Services,Market Expansion Services,2017,63.99,4158.4,20.1,2.55,13.06,0.06,-344.20000000000005,3814.2,11.4,12.8,29.8,2.58,2.698430004361099,3.042775112661724,1.937963366768426,1.267444395987789,4.7709705669573,0.14084507042253502,
DKSH.SW,DKSH Holding AG,Distribution / Services,Market Expansion Services,2018,52.05,3382.5,13.3,,,,,,,,23.4,3.56,2.323572448565838,2.7167110343247005,2.2944837191262804,1.2746152354424132,3.0727576682657354,22.034692920768872,
DKSH.SW,DKSH Holding AG,Distribution / Services,Market Expansion Services,2019,41.73,2711.8,15.7,,,,-152.2,2559.6,6.4,9.6,17.3,4.56,2.2920409009257976,3.4648334945419372,1.520830454608263,1.353288655520243,2.0679442201576137,-32.34729158663081,
DKSH.SW,DKSH Holding AG,Distribution / Services,Market Expansion Services,2020,54.76,3558.6,22.6,1.98,9.16,0.19,1019.4,4578.0,11.8,17.8,16.9,3.56,2.3970881197520058,3.599821265662527,1.534136396641284,1.9567686321237732,-7.228478651374881,-6.416808631459392,
DKSH.SW,DKSH Holding AG,Distribution / Services,Market Expansion Services,2021,63.68,4138.2,18.5,2.19,12.2,0.16,980.1,5118.3,12.4,18.0,15.8,3.22,2.5625095666423565,3.716809378460874,2.071797088139164,2.355419896815321,3.3894360559289405,39.62378640776698,
DKSH.SW,DKSH Holding AG,Distribution / Services,Market Expansion Services,2022,60.91,3958.2,19.7,2.17,11.37,0.37,1315.1,5273.3,11.8,16.5,18.9,3.53,2.819738167170191,3.937209589936573,1.8338898606031693,1.8506740163601347,1.9259339293914435,-9.778357235984359,
DKSH.SW,DKSH Holding AG,Distribution / Services,Market Expansion Services,2023,52.21,3392.9,18.6,1.95,10.93,0.39,1367.9,4760.8,10.9,15.6,12.0,4.31,2.764323151997108,3.9580697632387496,1.7160672329658413,2.5510572926079886,-2.2455433649582246,-8.526011560693636,
DKSH.SW,DKSH Holding AG,Distribution / Services,Market Expansion Services,2024,62.37,4053.1,18.8,2.16,11.75,0.3,1170.1,5223.2,11.3,15.6,15.8,3.77,3.0098435133770822,4.1510420422586,1.99123819138963,2.312143938847624,0.24941261521778113,16.324381253291207,
DKSH.SW,DKSH Holding AG,Distribution / Services,Market Expansion Services,2025,54.99,3573.5,17.6,1.96,11.58,0.28,1051.6,4625.1,10.1,13.8,16.6,4.55,3.029646089642837,4.12895416689249,1.9050457969757735,1.9465972937329503,-0.20732674695319586,-4.526935264825715,
GEBN.SW,Geberit AG,Industrials,Building Products,2015,260.56,8591.6,23.0,5.8,28.5,0.27,-53.30000000000001,8538.3,13.5,17.1,17.8,,19.211936615645605,24.35516829240082,16.285615144388327,18.660600686278293,,,
GEBN.SW,Geberit AG,Industrials,Building Products,2016,320.22,10558.8,21.5,6.46,33.52,0.27,-71.59999999999997,10487.2,13.4,16.4,18.7,3.12,22.7874688501246,27.95300818796725,19.515841936632256,20.074759700961195,8.300882908586193,29.782196969696994,
GEBN.SW,Geberit AG,Industrials,Building Products,2017,344.7,11366.0,24.0,6.19,28.71,0.24,22.600000000000023,11388.6,14.8,18.3,23.5,3.02,21.37674930371695,26.544716844892204,18.134305264243714,16.621393941477837,3.5350658597365747,-3.7942356804086197,
GEBN.SW,Geberit AG,Industrials,Building Products,2018,314.82,10380.8,19.2,5.95,34.22,0.22,104.10000000000002,10484.9,12.1,14.8,17.8,3.43,22.970297029702973,28.17075150137964,19.386463236487582,18.893036844668075,5.920984767733728,13.234736442927586,
GEBN.SW,Geberit AG,Industrials,Building Products,2019,459.32,15145.5,25.6,7.98,34.07,0.23,20.399999999999977,15165.9,16.8,20.0,31.3,1.83,24.54182750008109,29.31979629569561,20.983489571507345,15.699503714035485,0.07790943028729291,8.32217012726053,
GEBN.SW,Geberit AG,Industrials,Building Products,2020,481.81,15887.1,26.8,8.27,33.42,0.23,-27.700000000000045,15859.4,17.1,20.6,28.5,2.08,25.83637520511704,30.98690599778976,21.509661431298348,18.653092662670375,-3.1399007428071,-0.7110836296181811,
GEBN.SW,Geberit AG,Industrials,Building Products,2021,660.14,21767.3,30.9,10.95,38.02,0.42,326.0,22093.3,20.7,24.5,26.9,1.89,26.054038433752346,30.90015893656986,21.837884698742958,23.378124548475654,15.886942835136143,17.65530126109296,
GEBN.SW,Geberit AG,Industrials,Building Products,2022,394.54,13009.5,19.3,8.69,47.18,0.22,118.60000000000002,13128.1,14.4,17.4,23.1,3.19,22.258910934874258,26.787346325068544,20.82313747457177,16.568884695893157,-1.9823724895246309,-6.536985576286902,
GEBN.SW,Geberit AG,Industrials,Building Products,2023,500.87,16515.6,27.2,12.51,46.74,0.24,-39.5,16476.1,17.9,21.4,26.4,2.54,24.919744479392975,29.861538960407273,20.00713382405396,20.266545607834235,-9.080456381379165,-12.64335268299589,
GEBN.SW,Geberit AG,Industrials,Building Products,2024,490.69,16179.9,27.2,12.43,45.86,0.25,-86.39999999999998,16093.5,17.6,21.1,26.4,2.61,24.68967752390212,29.5770539620807,19.351806838437856,19.86712040187976,0.05188235675606112,-3.2252836304700105,
GEBN.SW,Geberit AG,Industrials,Building Products,2025,604.85,19944.2,33.3,13.15,39.4,0.2,-283.9,19660.3,21.1,25.6,30.3,2.13,24.25622055708369,29.422365550602297,18.90037623699769,20.835309367985076,2.5085075352454966,0.11723329425554763,
HIAG.SW,HIAG Immobilien Holding AG,Real Estate,Property / Real Estate,2015,67.67,684.5,9.1,0.97,8.39,0.71,449.908,1134.4,17.4,17.6,-20.1,5.17,125.88244486550894,127.01150547926474,116.20924735803723,-66.47197859082297,,,
HIAG.SW,HIAG Immobilien Holding AG,Real Estate,Property / Real Estate,2016,79.84,807.6,13.8,1.11,6.36,0.7,449.93799999999993,1257.5,22.4,22.6,-19.3,4.51,106.01472214806056,106.86334337694039,88.43586711926466,-79.98207406842366,2.4319731213251927,-22.048713250743802,
HIAG.SW,HIAG Immobilien Holding AG,Real Estate,Property / Real Estate,2017,94.97,960.6,13.3,1.26,7.56,0.7,490.127,1450.7,19.8,20.3,-25.6,4.0,127.83189485370482,130.98162804856213,102.88471869068509,-67.27429001181821,6.499103703421172,23.899167637037987,
HIAG.SW,HIAG Immobilien Holding AG,Real Estate,Property / Real Estate,2018,94.36,954.4,12.4,1.22,7.51,0.89,667.446,1621.8,15.5,20.3,-6.8,4.13,137.1673362865286,179.13361491707016,101.1898629854744,-239.81491020225954,4.290369945922712,2.572358459369628,
HIAG.SW,HIAG Immobilien Holding AG,Real Estate,Property / Real Estate,2019,90.01,910.4,10.2,1.35,10.62,1.24,807.366,1717.8,15.0,21.8,-9.8,,125.24351937049846,181.4370022527525,113.21033093251262,-148.0058381191103,8.227739432024993,21.08424535505218,
HIAG.SW,HIAG Immobilien Holding AG,Real Estate,Property / Real Estate,2020,91.26,923.1,13.4,1.21,7.25,1.07,796.98,1720.1,14.0,24.6,,2.52,116.94231477451538,205.30817904851185,92.33486223174529,,-5.228924072722652,-22.704278247221875,
HIAG.SW,HIAG Immobilien Holding AG,Real Estate,Property / Real Estate,2021,80.8,817.3,7.8,0.83,9.03,0.8,705.5369999999999,1522.8,13.2,13.2,-10.7,3.34,182.33188685819263,183.12216907921825,141.36866111304678,-120.68670615438218,5.698215541196561,61.828532061857544,
HIAG.SW,HIAG Immobilien Holding AG,Real Estate,Property / Real Estate,2022,71.66,724.8,7.3,0.68,9.36,0.77,787.325,1512.1,13.1,13.1,-10.2,4.05,170.2679138774364,171.03781531231988,146.89601158546498,-105.24449173205656,7.1727218016534255,11.363050760113369,
HIAG.SW,HIAG Immobilien Holding AG,Real Estate,Property / Real Estate,2023,72.26,730.9,15.5,0.68,4.34,0.72,754.7,1485.6,20.9,21.1,,4.29,100.09956051145659,100.88182167290105,66.80225860131705,,3.8982725244196104,-52.75134297728508,
HIAG.SW,HIAG Immobilien Holding AG,Real Estate,Property / Real Estate,2024,80.53,814.5,10.8,0.72,6.68,0.68,732.324,1546.8,16.5,16.6,38.6,4.1,123.3758846484556,124.12328857728687,99.42721079436471,27.8920563529334,7.518240907991869,60.028104241185495,
HIAG.SW,HIAG Immobilien Holding AG,Real Estate,Property / Real Estate,2025,115.58,1169.1,10.2,0.97,9.53,0.65,748.118,1917.2,13.7,13.8,-13.2,3.2,179.4208519164889,180.6735181953332,148.80098248335597,-114.42699243746364,2.3281963092797175,53.1425454351933,
SCMN.SW,Swisscom AG,Telecom / Infrastructure,Telecommunications,2015,314.45,16289.1,12.0,3.11,25.98,1.64,8269.0,24558.1,6.0,12.2,12.5,7.0,17.228977564651483,35.09162527830108,11.662955985613975,11.18342181880459,,,
